TIME,STD,CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
10:28:05,IST,all,9.55,0,4.52,17.34,0,1.51,0,0,0,67.09
10:28:06,IST,all,9.93,0,5.46,14.14,0,1.74,0,0,0,68.73
10:28:07,IST,all,9.02,0,4.01,18.3,0,0.75,0,0,0,67.92
10:28:08,IST,all,13.35,0,4.13,16.02,0,3.64,0,0,0,62.86
10:28:09,IST,all,13.57,0,2.01,1.51,0,1.26,0,0,0,81.66
10:28:10,IST,all,6.31,0,2.02,0,0,1.01,0,0,0,90.66
10:28:11,IST,all,8.93,0,3.23,2.73,0,0.5,0,0,0,84.62
10:28:12,IST,all,5.56,0,2.53,0,0,0.76,0,0,0,91.16
10:28:13,IST,all,7.23,0,2.49,0,0,0.75,0,0,0,89.53
10:28:14,IST,all,12.94,0,4.82,0,0,0.76,0,0,0,81.47
10:28:15,IST,all,16.08,0,3.77,0.75,0,0.5,0,0,0,78.89
10:28:16,IST,all,14.61,0,4.28,1.26,0,0.5,0,0,0,79.35
10:28:17,IST,all,29.15,0,7.79,7.04,0,0,0,0,0,56.03
10:28:18,IST,all,38.46,0,8.93,0.25,0,0.5,0,0,0,51.86
10:28:19,IST,all,35.68,0,8.54,1.51,0,0.5,0,0,0,53.77
10:28:20,IST,all,30.23,0,5.54,0,0,2.02,0,0,0,62.22
10:28:21,IST,all,23.31,0,4.01,0,0,0.5,0,0,0,72.18
10:28:22,IST,all,25.32,0,3.54,0,0,1.01,0,0,0,70.13
10:28:23,IST,all,23.1,0,4.57,1.02,0,1.52,0,0,0,69.8
10:28:24,IST,all,32.27,0,6.6,2.2,0,1.47,0,0,0,57.46
10:28:25,IST,all,26.87,0,6.72,0.75,0,1,0,0,0,64.68
10:28:26,IST,all,21.7,0,4.74,0.5,0,1,0,0,0,72.07
10:28:27,IST,all,35.47,0.27,8.8,12,0,0.27,0,0,0,43.2
10:28:28,IST,all,31.73,0,8.12,23.86,0,0.51,0,0,0,35.79
10:28:29,IST,all,10.28,0,2.51,29.57,0,0.5,0,0,0,57.14
10:28:30,IST,all,15.21,0,2.49,0.25,0,0.25,0,0,0,81.8
10:28:31,IST,all,11.47,0,2.99,4.74,0,1,0,0,0,79.8
10:28:32,IST,all,17.29,0,4.51,2.26,0,0.5,0,0,0,75.44
10:28:33,IST,all,25.38,0,6.35,0,0,0.51,0,0,0,67.77
10:28:34,IST,all,10.74,0.51,4.09,0,0,0.51,0,0,0,84.14
10:28:35,IST,all,17.86,0,3.32,0,0,0.51,0,0,0,78.32
10:28:36,IST,all,13.44,0,3.36,0,0,0.26,0,0,0,82.95
10:28:37,IST,all,15.09,0,3.58,20.72,0,0.77,0,0,0,59.85
10:28:38,IST,all,22.08,0,6.09,20.56,0,0.76,0,0,0,50.51
10:28:39,IST,all,17.22,0,5.57,3.29,0,0.76,0,0,0,73.16
10:28:40,IST,all,17.77,0,4.31,0,0,0.76,0,0,0,77.16
10:28:41,IST,all,11.11,0,3.54,0,0,0.25,0,0,0,85.1
10:28:42,IST,all,18.32,0,5.2,1.49,0,0.99,0,0,0,74.01
10:28:43,IST,all,17.12,0.25,5.46,0.25,0,0.5,0,0,0,76.43
10:28:44,IST,all,29.6,0,6.72,19.15,0,0.75,0,0,0,43.78
10:28:45,IST,all,35.2,0,8.42,1.02,0,0.77,0,0,0,54.59
10:28:46,IST,all,18.58,0.51,6.11,0,0,1.02,0,0,0,73.79
10:28:47,IST,all,18.88,0.77,9.69,0.77,0,0.77,0,0,0,69.13
10:28:48,IST,all,17.87,0,6.45,11.91,0,0.99,0,0,0,62.78
10:28:49,IST,all,22.19,0,5.36,7.65,0,0.77,0,0,0,64.03
10:28:50,IST,all,11.31,0,3.52,22.36,0,0.5,0,0,0,62.31
10:28:51,IST,all,12.21,0,3.56,0,0,0.25,0,0,0,83.97
10:28:52,IST,all,12.08,0,3.6,0,0,0.26,0,0,0,84.06
10:28:53,IST,all,13.66,0,3.87,0,0,0.52,0,0,0,81.96
10:28:54,IST,all,20,0,3.29,12.15,0,0.76,0,0,0,63.8
10:28:55,IST,all,17.95,0,6.67,18.72,0,0.77,0,0,0,55.9
10:28:56,IST,all,19.26,0,5.93,7.41,0,1.48,0,0,0,65.93
10:28:57,IST,all,18.05,0,5.76,1.25,0,1.75,0,0,0,73.18
10:28:58,IST,all,30.23,0,9.32,3.53,0,0.76,0,0,0,56.17
10:28:59,IST,all,19.4,0,7.05,1.51,0,0.5,0,0,0,71.54
10:29:00,IST,all,39.29,0.26,8.93,5.87,0,0,0,0,0,45.66
10:29:01,IST,all,43.33,1.54,7.95,8.21,0,0,0,0,0,38.97
10:29:02,IST,all,34.18,0,8.67,0.77,0,0.51,0,0,0,55.87
10:29:03,IST,all,56.2,0,9.62,5.06,0,0,0,0,0,29.11
10:29:04,IST,all,40.7,0.5,7.79,3.02,0,0.25,0,0,0,47.74
