time,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
3:09:39,9.73,0,3.49,27.18,0,0.5,0,0,0,59.1
3:09:40,11.62,0,2.02,19.7,0,0,0,0,0,66.67
3:09:41,9.77,0,2.26,19.8,0,0.25,0,0,0,67.92
3:09:42,27.68,0,3.49,17.96,0,0.25,0,0,0,50.62
3:09:43,27.11,0,4.48,26.12,0,1,0,0,0,41.29
3:09:44,31.92,0,4.99,3.49,0,0.25,0,0,0,59.35
3:09:45,27.2,0,3.78,12.34,0,0,0,0,0,56.68
3:09:46,5.56,0,1.26,16.67,0,0,0,0,0,76.52
3:09:47,7.34,0,1.01,10.38,0,0,0,0,0,81.27
3:09:48,14.29,0,4.08,0,0,0.26,0,0,0,81.38
3:09:49,14.39,0,2.27,14.14,0,0.51,0,0,0,68.69
3:09:50,14.58,0,3.07,6.91,0,0.51,0,0,0,74.94
3:09:51,28.28,0,6.43,14.91,0,1.03,0,0,0,49.36
3:09:52,36.25,0,9.77,3.08,0,1.03,0,0,0,49.87
3:09:53,36.71,0,12.91,4.56,0,0.51,0,0,0,45.32
3:09:54,32.07,0,6.31,1.52,0,0.51,0,0,0,59.6
3:09:55,23.53,0,6.14,2.3,0,1.28,0,0,0,66.75
3:09:56,22.67,0,7.05,2.27,0,0.25,0,0,0,67.76
3:09:57,17.44,0,5.64,10,0,0.51,0,0,0,66.41
3:09:58,17.13,0,6.3,0,0,0.5,0,0,0,76.07
3:09:59,14.07,0,5.78,0,0,0.75,0,0,0,79.4
3:10:00,14.5,0,7.12,1.02,0,0.51,0,0,0,76.84
3:10:01,19.02,0,5.91,2.83,0,1.29,0,0,0,70.95
3:10:02,20.45,0,8.33,0,0,1.01,0,0,0,70.2
3:10:03,23.21,0,7.65,15.82,0,1.28,0,0,0,52.04
3:10:04,17.44,0,4.87,26.41,0,1.28,0,0,0,50
3:10:05,12.02,0,4.35,8.7,0,1.02,0,0,0,73.91
3:10:06,12.89,0,3.87,7.73,0,0.77,0,0,0,74.74
3:10:07,11.2,0,4.83,0,0,1.27,0,0,0,82.7
3:10:08,19.55,0,7.02,13.03,0,0.5,0,0,0,59.9
3:10:09,29.1,0,7.21,28.11,0,0.75,0,0,0,34.83
3:10:10,22.94,0,9.48,37.91,0,0.5,0,0,0,29.18
3:10:11,25.44,0,7.73,50.87,0,1.25,0,0,0,14.71
3:10:12,18.53,0,6.6,51.02,0,0.51,0,0,0,23.35
3:10:13,29.87,0,7.59,38.73,0,0.76,0,0,0,23.04
3:10:14,21.75,0,6.25,0.75,0,0.75,0,0,0,70.5
3:10:15,19.85,0,6.44,6.19,0,1.55,0,0,0,65.98
3:10:16,21.07,0,6.09,0.76,0,0.76,0,0,0,71.32
3:10:17,13.49,0,4.33,3.31,0,1.02,0,0,0,77.86
3:10:18,12.53,0,4.86,0.26,0,1.28,0,0,0,81.07
3:10:19,22.28,0,8.1,0,0,1.52,0,0,0,68.1
3:10:20,22.47,0,5.81,12.88,0,1.01,0,0,0,57.83
3:10:21,13.38,0,6.57,20.45,0,0.51,0,0,0,59.09
3:10:22,14.07,0,6.78,0,0,0.75,0,0,0,78.39
3:10:23,14.93,0,5.97,7.71,0,0.75,0,0,0,70.65
3:10:24,18.48,0,5.82,29.37,0,0.51,0,0,0,45.82
3:10:25,22.06,0,5.76,6.77,0,0.5,0,0,0,64.91
3:10:26,29.62,0.25,5.06,32.66,0,1.27,0,0,0,31.14
3:10:27,19.1,0.25,4.02,3.02,0,0.75,0,0,0,72.86
3:10:28,19.95,0,6.57,1.26,0,0.51,0,0,0,71.72
3:10:29,19.9,0,4.59,1.28,0,0.77,0,0,0,73.47
3:10:30,22.92,0,6.05,3.53,0,0.76,0,0,0,66.75
3:10:31,25.64,1.28,8.46,0,0,1.79,0,0,0,62.82
3:10:32,27.37,0,8.44,1.53,0,0.51,0,0,0,62.15
3:10:33,16.49,0,4.64,2.32,0,0.52,0,0,0,76.03
3:10:34,16.12,0,5.04,5.04,0,0.5,0,0,0,73.3
3:10:35,19.29,0.25,6.85,6.09,0,1.27,0,0,0,66.24
3:10:36,31.06,0,7.07,22.22,0,0.76,0,0,0,38.89
3:10:37,40.49,0.49,6.67,12.35,0,1.23,0,0,0,38.77
3:10:38,28.1,0,5.32,1.01,0,0.76,0,0,0,64.81
3:10:39,28.75,0,5.65,2.95,0,0.74,0,0,0,61.92
3:10:40,29.97,0,4.53,10.83,0,1.01,0,0,0,53.65
3:10:41,15.74,0,5.58,1.02,0,1.02,0,0,0,76.65
